symbol,name,category
MOLDTECH,Mold-tek Technologies Limited,smallcap
EQUITASBNK,Equitas Small Finance Bank Ltd,smallcap
HARIOMPIPE,Hariom Pipe Industries Ltd,smallcap
PRINCEPIPE,Prince Pipes & Fittings Ltd,smallcap
DCXINDIA,DCX Systems Ltd,smallcap
NACLIND,NACL Industries Ltd,smallcap
CDSL,Central Depository Services Ltd,smallcap
USHAMART,Usha Martin Limited,smallcap
KIOCL,Kiocl Limited,smallcap
MAYURUNIQ,Mayur Uniquoters Ltd,smallcap
POCL,Pondy Oxides & Chemicals Ltd,smallcap
ARVINDFASN,Arvind Fashions Ltd,smallcap
INOXGREEN,Inox Green Energy Services Ltd,smallcap
GICHSGFIN,Gic Housing Finance Limited,smallcap
JTLIND,JTL Industries Ltd,smallcap
TRUALT,TruAlt Bioenergy Ltd,smallcap
ORIENTELEC,Orient Electric Ltd,smallcap
SAKSOFT,Saksoft Limited,smallcap
WAAREERTL,Waaree Renewables Technologies Ltd,smallcap
KUANTUM,Kuantum Papers Ltd,smallcap
COHANCE,Cohance Lifesciences Ltd,smallcap
MHRIL,Mahindra Holidays & Resorts India Limited,smallcap
PARADEEP,Paradeep Phosphates Ltd,smallcap
GSFC,Gujarat State Fertilizers & Chemicals Limited,smallcap
PROSTARM,Prostarm Info Systems Ltd,smallcap
VTL,Vardhman Textiles Limited,smallcap
CAMS,Computer Age Management Services Ltd,smallcap
SUNTV,Sun Tv Network Limited,smallcap
RELAXO,Relaxo Footwears Limited,smallcap
UDS,Updater Services Ltd,smallcap
ZEEL,Zee Entertainment Enterprises Limited,smallcap
GRMOVER,GRM Overseas Ltd,smallcap
RPTECH,Rashi Peripherals Ltd,smallcap
NIVABUPA,Niva Bupa Health Insurance Company Ltd,smallcap
JUBLINGREA,Jubilant Ingrevia Ltd,smallcap
RCF,Rashtriya Chemicals And Fertilizers Limited,smallcap
APOLLOTYRE,Apollo Tyres Limited,smallcap
FEDFINA,Fedbank Financial Services Ltd,smallcap
PNBGILTS,Pnb Gilts Limited,smallcap
LATENTVIEW,Latent View Analytics Ltd,smallcap
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,smallcap
SHRINGARMS,Shringar House of Mangalsutra Ltd,smallcap
ROSSTECH,Rossell Techsys Ltd,smallcap
ORKLAINDIA,Orkla India Ltd,smallcap
PROTEAN,Protean eGov Technologies Ltd,smallcap
TIL,Til Limited,smallcap
